abcd,nda,instrument
smri_vol_cort.desikan_posteriorcingulate.rh,cv_rh_posteriorcing,freesvol01
smri_vol_cort.desikan_precentral.rh,cv_rh_precentral,freesvol01
smri_vol_cort.desikan_precuneus.rh,cv_rh_precuneus,freesvol01
smri_vol_cort.desikan_rostralanteriorcingulate.rh,cv_rh_rostralanteriorcing,freesvol01
smri_vol_cort.desikan_rostralmiddlefrontal.rh,cv_rh_rostralmiddlefront,freesvol01
smri_vol_cort.desikan_superiorfrontal.rh,cv_rh_superiorfront,freesvol01
smri_vol_cort.desikan_superiorparietal.rh,cv_rh_superiorpariet,freesvol01
smri_vol_cort.desikan_superiortemporal.rh,cv_rh_superiortemp,freesvol01
smri_vol_cort.desikan_supramarginal.rh,cv_rh_supramarginal,freesvol01
smri_vol_cort.desikan_frontalpole.rh,cv_rh_frontpole,freesvol01
smri_vol_cort.desikan_temporalpole.rh,cv_rh_temppole,freesvol01
smri_vol_cort.desikan_transversetemporal.rh,cv_rh_transversetemp,freesvol01
smri_vol_cort.fuzzy2_frontal.lh,cv_lh_f2_front,freesvol01
smri_vol_cort.fuzzy2_posterior.lh,cv_lh_f2_posterior,freesvol01
smri_vol_cort.fuzzy4_frontal.lh,cv_lh_f4_front,freesvol01
smri_vol_cort.fuzzy4_occipital.lh,cv_lh_f4_occipital,freesvol01
smri_vol_cort.fuzzy4_temporal.lh,cv_lh_f4_temp,freesvol01
smri_vol_cort.fuzzy4_parietal.lh,cv_lh_f4_pariet,freesvol01
smri_vol_cort.fuzzy12_central.lh,cv_lh_f12_central,freesvol01
smri_vol_cort.fuzzy12_occipital.lh,cv_lh_f12_occipital,freesvol01
smri_vol_cort.fuzzy12_posterolateraltemporal.lh,cv_lh_f12_postero_ltr_temp,freesvol01
smri_vol_cort.fuzzy12_superiorparietal.lh,cv_lh_f12_superiorpariet,freesvol01
smri_vol_cort.fuzzy12_orbitofrontal.lh,cv_lh_f12_orbitofront,freesvol01
smri_vol_cort.fuzzy12_superiortemporal.lh,cv_lh_f12_superiortemp,freesvol01
smri_vol_cort.fuzzy12_inferiorparietal.lh,cv_lh_f12_inferiorpariet,freesvol01
smri_vol_cort.fuzzy12_dorsomedialfrontal.lh,cv_lh_f12_dorsomedialfront,freesvol01
smri_vol_cort.fuzzy12_anteromedialtemporal.lh,cv_lh_f12_anteromedialtemp,freesvol01
smri_vol_cort.fuzzy12_precuneus.lh,cv_lh_f12_precuneus,freesvol01
smri_vol_cort.fuzzy12_dorsolateralprefrontal.lh,cv_lh_f12_dorso_ltr_prefront,freesvol01
smri_vol_cort.fuzzy12_parsopercularis.lh,cv_lh_f12_parsopercularis,freesvol01
smri_vol_cort.fuzzy2_frontal.rh,cv_rh_f2_front,freesvol01
smri_vol_cort.fuzzy2_posterior.rh,cv_rh_f2_posterior,freesvol01
smri_vol_cort.fuzzy4_frontal.rh,cv_rh_f4_front,freesvol01
smri_vol_cort.fuzzy4_occipital.rh,cv_rh_f4_occipital,freesvol01
smri_vol_cort.fuzzy4_temporal.rh,cv_rh_f4_temp,freesvol01
smri_vol_cort.fuzzy4_parietal.rh,cv_rh_f4_pariet,freesvol01
smri_vol_cort.fuzzy12_central.rh,cv_rh_f12_central,freesvol01
smri_vol_cort.fuzzy12_occipital.rh,cv_rh_f12_occipital,freesvol01
smri_vol_cort.fuzzy12_posterolateraltemporal.rh,cv_rh_f12_postero_ltr_temp,freesvol01
smri_vol_cort.fuzzy12_superiorparietal.rh,cv_rh_f12_superiorpariet,freesvol01
smri_vol_cort.fuzzy12_orbitofrontal.rh,cv_rh_f12_orbitofront,freesvol01
smri_vol_cort.fuzzy12_superiortemporal.rh,cv_rh_f12_superiortemp,freesvol01
smri_vol_cort.fuzzy12_inferiorparietal.rh,cv_rh_f12_inferiorpariet,freesvol01
smri_vol_cort.fuzzy12_dorsomedialfrontal.rh,cv_rh_f12_dorsomedialfront,freesvol01
smri_vol_cort.fuzzy12_anteromedialtemporal.rh,cv_rh_f12_anteromedialtemp,freesvol01
smri_vol_cort.fuzzy12_precuneus.rh,cv_rh_f12_precuneus,freesvol01
smri_vol_cort.fuzzy12_dorsolateralprefrontal.rh,cv_rh_f12_dorso_ltr_prefront,freesvol01
smri_vol_cort.fuzzy12_parsopercularis.rh,cv_rh_f12_parsopercularis,freesvol01
smri_vol_cort.desikan_total.lh,cv_ctx_lh_total,freesvol01
smri_vol_cort.desikan_total.rh,cv_ctx_rh_total,freesvol01
smri_vol_cort.desikan_total,cv_ctx_total,freesvol01
smri_t1w.white02_cort.desikan_bankssts.lh,t1w_ctx_lh_bankssts,freesvol01
smri_t1w.white02_cort.desikan_caudalanteriorcingulate.lh,t1w_ctx_lh_cdl_anteriorcing,freesvol01
smri_t1w.white02_cort.desikan_caudalmiddlefrontal.lh,t1w_ctx_lh_cdl_middlefront,freesvol01
smri_t1w.white02_cort.desikan_cuneus.lh,t1w_ctx_lh_cuneus,freesvol01
smri_t1w.white02_cort.desikan_entorhinal.lh,t1w_ctx_lh_entorhinal,freesvol01
smri_t1w.white02_cort.desikan_fusiform.lh,t1w_ctx_lh_fusiform,freesvol01
smri_t1w.white02_cort.desikan_inferiorparietal.lh,t1w_ctx_lh_inferiorpariet,freesvol01
smri_t1w.white02_cort.desikan_inferiortemporal.lh,t1w_ctx_lh_inferiortemp,freesvol01
